1,iphone13,,92,black
2,keyboard,paris,16,red
3,iphone12,usa,87,blue
4,iphone12,china,53,red
5,,paris,2,
6,keyboard,,44,
7,iphone12,china,43,black
8,ball,india,14,red
9,pc,china,91,red
10,,china,44,
11,pc,usa,15,blue
12,iphone13,paris,58,blue
13,iphone13,india,41,red
14,car,paris,19,red
15,car,,76,blue
16,car,,75,black
17,car,china,82,
18,,usa,85,
19,iphone13,india,30,red
20,keyboard,paris,39,red
21,tshirt,,73,red
22,tshirt,china,74,red
23,iphone13,india,44,red
24,ball,india,47,red
25,tshirt,usa,28,black
26,iphone13,china,49,black
27,,,59,
28,car,,80,blue
29,iphone12,usa,48,blue
30,iphone12,china,87,red
31,iphone12,china,46,red
32,pc,paris,57,black
33,car,usa,34,red
34,,usa,57,
35,iphone12,china,98,black
36,iphone13,usa,32,
37,pc,paris,22,red
38,,india,52,blue
39,iphone12,,86,black
40,ball,paris,72,
41,car,,6,black
42,keyboard,india,71,black
43,iphone12,india,62,black
44,keyboard,usa,88,
45,,paris,32,black
46,pc,,82,black
47,keyboard,india,94,black
48,iphone12,paris,29,red
49,iphone13,india,45,blue
50,ball,china,46,black
51,pc,china,91,
52,car,china,31,
53,tshirt,china,4,red
54,ball,china,40,
55,pc,india,91,red
56,iphone12,china,100,blue
57,iphone13,india,74,
58,,usa,71,red
59,ball,india,29,black
60,tshirt,paris,78,red
61,tshirt,china,42,blue
62,keyboard,,38,black
63,car,paris,41,black
64,tshirt,,16,black
65,car,paris,91,black
66,pc,paris,23,
67,ball,paris,85,black
68,tshirt,,3,
69,keyboard,,47,
70,pc,india,45,
71,pc,,40,blue
72,iphone12,usa,82,blue
73,pc,india,72,
74,iphone12,,42,
75,ball,china,98,black
76,car,,68,red
77,pc,china,46,
78,,usa,33,red
79,,paris,67,
80,keyboard,india,37,
81,iphone12,paris,18,black
82,iphone12,usa,19,black
83,iphone12,usa,21,
84,iphone13,,57,red
85,keyboard,usa,23,red
86,iphone13,,43,
87,,paris,23,black
88,ball,india,48,blue
89,iphone13,,27,black
90,iphone12,china,41,black
91,tshirt,,59,
92,tshirt,,15,red
93,,china,6,
94,iphone13,paris,63,blue
95,keyboard,usa,81,red
96,ball,paris,99,blue
97,iphone13,china,93,
98,iphone12,india,49,blue
99,ball,,76,
100,tshirt,usa,38,
101,,,96,red
102,iphone13,usa,66,
103,,india,85,black
104,ball,paris,86,blue
105,iphone13,china,48,red
106,car,india,75,black
107,iphone13,india,33,blue
108,iphone13,india,48,red
109,keyboard,usa,6,
110,iphone12,paris,86,blue
111,pc,india,53,red
112,ball,paris,15,blue
113,car,paris,29,black
114,ball,china,26,blue
115,keyboard,india,52,red
116,,india,52,red
117,pc,india,1,blue
118,ball,paris,12,
119,tshirt,paris,43,black
120,iphone12,paris,62,red
121,tshirt,india,46,blue
122,,india,77,red
123,,china,43,red
124,pc,india,6,red
125,pc,,49,
126,iphone13,india,46,red
127,iphone12,china,23,red
128,tshirt,paris,93,red
129,pc,,89,blue
130,iphone13,paris,87,red
131,car,paris,10,black
132,,,5,blue
133,keyboard,india,73,blue
134,,china,28,black
135,ball,usa,41,red
136,iphone12,china,12,red
137,iphone13,india,23,red
138,iphone12,paris,78,blue
139,iphone13,,72,red
140,keyboard,paris,58,blue
141,ball,,89,black
142,tshirt,usa,52,red
143,keyboard,usa,71,
144,ball,paris,8,blue
145,iphone13,china,65,red
146,keyboard,usa,55,black
147,keyboard,usa,9,blue
148,pc,china,61,red
149,ball,china,44,
150,ball,usa,28,red
151,,india,50,black
152,iphone13,paris,95,black
153,,paris,55,red
154,iphone12,usa,83,black
155,car,usa,81,red
156,car,,19,red
157,ball,paris,43,red
158,ball,usa,90,blue
159,iphone12,india,48,black
160,iphone13,china,56,
161,iphone13,,9,blue
162,ball,usa,82,blue
163,keyboard,paris,92,black
164,car,usa,16,black
165,keyboard,usa,19,red
166,tshirt,china,95,
167,tshirt,china,71,red
168,car,,39,black
169,tshirt,india,84,
170,car,paris,58,red
171,tshirt,paris,96,
172,iphone12,usa,62,black
173,iphone12,china,39,red
174,iphone12,paris,39,
175,keyboard,paris,84,red
176,iphone13,,65,blue
177,,india,60,black
178,,china,44,blue
179,car,china,79,blue
180,ball,paris,61,black
181,iphone13,paris,32,black
182,,usa,12,black
183,ball,india,89,red
184,ball,,20,red
185,iphone12,india,82,blue
186,keyboard,china,22,black
187,pc,paris,13,red
188,car,,47,blue
189,keyboard,india,79,
190,car,india,34,
191,,china,81,blue
192,ball,india,50,blue
193,iphone12,,27,red
194,ball,usa,87,blue
195,ball,,25,black
196,pc,usa,57,black
197,keyboard,paris,65,black
198,keyboard,india,72,
199,car,,84,blue
200,iphone12,usa,52,red
201,keyboard,,21,
202,,paris,72,blue
203,ball,china,78,
204,keyboard,paris,30,black
205,tshirt,usa,100,blue
206,iphone12,usa,42,blue
207,keyboard,,36,
208,iphone13,china,36,
209,keyboard,,20,red
210,pc,,74,red
211,pc,paris,12,
212,iphone12,china,96,
213,ball,china,76,black
214,iphone12,paris,69,red
215,keyboard,china,37,
216,keyboard,china,49,red
217,car,usa,15,blue
218,iphone13,,29,blue
219,iphone13,india,98,red
220,pc,india,89,red
221,ball,paris,20,blue
222,iphone12,paris,49,blue
223,keyboard,india,13,blue
224,tshirt,india,9,black
225,car,,1,black
226,ball,usa,68,red
227,,usa,16,
228,,usa,75,black
229,iphone13,usa,8,black
230,,india,13,
231,iphone13,,54,blue
232,keyboard,,26,black
233,tshirt,india,33,blue
234,iphone13,usa,30,red
235,car,usa,18,
236,iphone12,usa,47,black
237,,india,84,black
238,keyboard,usa,89,red
239,ball,china,79,
240,iphone12,india,28,
241,pc,usa,98,black
242,ball,usa,9,
243,iphone13,india,23,black
244,pc,china,60,
245,keyboard,paris,21,black
246,tshirt,usa,49,
247,car,china,90,
248,ball,india,88,red
249,,india,72,black
250,tshirt,,18,black
251,keyboard,china,47,
252,ball,,91,blue
253,pc,india,8,black
254,tshirt,usa,3,black
255,tshirt,india,87,blue
256,iphone12,china,77,blue
257,,usa,83,
258,ball,india,6,black
259,pc,china,68,
260,car,china,17,blue
261,,india,49,red
262,iphone13,usa,50,blue
263,iphone12,india,94,black
264,car,,62,
265,iphone13,usa,41,
266,pc,usa,76,black
267,keyboard,,29,black
268,,paris,7,black
269,car,india,25,red
270,iphone13,paris,67,
271,car,usa,62,blue
272,car,usa,11,
273,car,,12,
274,car,india,100,red
275,keyboard,,38,red
276,keyboard,,96,black
277,car,india,92,red
278,iphone12,china,57,blue
279,tshirt,india,82,red
280,keyboard,,63,
281,iphone12,china,22,red
